course_ID_full_orig,current_enrollment,spots_avl,pending_enrollment
11110AES 510000,15,40,6
11110AES 510100,10,∞,0
11110AES 511100,0,55,6
11110AES 520100,16,∞,0
11110AES 520300,8,∞,0
11110AES 520400,9,∞,0
11110AES 530200,6,∞,0
11110AES 540400,9,∞,0
11110AES 550200,0,0,0
11110AES 570100,18,∞,0
11110AES 610000,1,∞,0
11110AES 611100,15,40,0
11110AIIM500100,2,∞,0
11110AMEV500100,0,∞,0
11110ANTH500000,2,∞,0
11110ANTH651000,8,∞,0
11110ANTH672400,6,∞,0
11110ANTH674200,6,∞,0
11110ANTH674300,13,∞,0
11110ANTH675700,9,∞,0
11110ANTH676800,2,8,0
11110ANTH678400,2,8,2
11110ANTH678800,4,∞,0
11110ANTH678900,4,∞,0
11110ANTH679500,4,∞,0
11110ANTH679600,1,2,0
11110ANTH679700,1,∞,0
11110ANTH800000,1,∞,0
11110ASTR500100,1,∞,0
11110ASTR530000,4,∞,0
11110ASTR591000,5,∞,0
11110ASTR600700,5,∞,0
11110ASTR610000,7,8,0
11110ASTR660000,12,∞,0
11110ASTR691000,1,∞,0
11110ASTR992000,1,∞,0
11110BAI 700100,2,18,0
11110BAI 700300,1,39,0
11110BAI 700600,1,2,0
11110BME 400100,7,∞,0
11110BME 500400,24,∞,0
11110BME 500800,8,16,0
11110BME 501200,15,∞,0
11110BME 501900,11,∞,0
11110BME 502400,3,∞,0
11110BME 502500,9,∞,0
11110BME 502600,10,26,3
11110BME 503600,4,∞,0
11110BME 503900,13,∞,0
11110BME 504000,8,∞,0
11110BME 504400,6,9,4
11110BME 504600,2,∞,0
11110BME 504900,1,∞,0
11110BME 800100,0,∞,0
11110BMES111100,3,57,14
11110BMES211100,37,13,0
11110BMES212100,58,2,0
11110BMES213300,51,∞,0
11110BMES215100,44,∞,0
11110BMES312101,10,15,0
11110BMES312102,25,0,0
11110BMES316100,38,∞,0
11110BMES318100,15,∞,0
11110BMES323100,12,∞,0
11110BMES327200,19,11,0
11110BMES332100,10,∞,0
11110BMES337100,19,∞,0
11110BMES343100,10,∞,0
11110BMES411100,21,5,0
11110BMES418100,21,∞,0
11110BMES420200,16,∞,0
11110BMES423100,19,∞,0
11110BMES433100,79,16,6
11110BMES441100,27,∞,0
11110BMES441200,22,∞,0
11110BMES441300,22,∞,0
11110BMES442100,20,∞,0
11110BMES500000,60,∞,0
11110BMES511101,18,∞,0
11110BMES511103,7,∞,0
11110BMES512100,23,∞,0
11110BMES520100,8,∞,0
11110BMES520200,28,∞,0
11110BMES523500,29,∞,0
11110BMES529100,2,∞,0
11110BMES544500,3,∞,0
11110BMES545300,3,11,4
11110BMES545500,11,∞,0
11110BMES546300,27,∞,0
11110BMES546700,3,∞,0
11110BMES548500,5,∞,0
11110BMES610200,21,∞,0
11110BMES611101,18,∞,0
11110BMES611103,9,∞,0
11110BMES711100,9,∞,0
11110BMES712100,3,∞,0
11110BMES810100,1,∞,0
11110CL  101001,0,25,15
11110CL  101002,0,25,20
11110CL  101003,0,25,10
11110CL  101004,0,25,6
11110CL  101005,0,25,7
11110CL  101006,0,25,5
11110CL  101007,0,25,12
11110CL  101008,0,25,4
11110CL  101011,0,25,8
11110CL  101012,0,25,14
11110CL  101013,0,25,13
11110CL  101014,0,25,14
11110CL  101015,0,25,14
11110CL  101016,0,25,14
11110CL  101017,0,25,5
11110CL  101022,0,25,6
11110CL  101023,0,25,15
11110CL  101024,0,25,14
11110CL  101025,0,25,13
11110CL  101026,0,25,10
11110CL  101029,0,25,14
11110CL  101030,0,25,15
11110CL  101031,0,25,11
11110CL  101032,0,25,9
11110CL  101033,0,25,10
11110CL  101034,0,25,5
11110CL  101038,0,25,16
11110CL  101039,0,25,11
11110CL  101040,0,25,10
11110CL  101041,0,25,13
11110CL  101042,0,25,11
11110CL  101050,0,25,4
11110CL  101051,0,25,1
11110CL  101061,0,25,12
11110CL  101062,0,25,9
11110CL  101063,0,25,16
11110CL  101064,0,25,8
11110CL  101065,0,25,6
11110CHE 116000,2,65,18
11110CHE 211001,33,2,0
11110CHE 211002,35,0,0
11110CHE 241001,26,4,0
11110CHE 241002,30,0,0
11110CHE 301000,42,25,0
11110CHE 303001,35,0,0
11110CHE 303002,34,1,0
11110CHE 307001,35,0,0
11110CHE 307002,31,4,0
11110CHE 309001,28,2,0
11110CHE 309002,30,0,0
11110CHE 352001,34,1,0
11110CHE 352002,35,0,0
11110CHE 412000,13,∞,0
11110CHE 415001,30,0,0
11110CHE 415002,30,0,0
11110CHE 421001,30,0,0
11110CHE 421002,30,0,0
11110CHE 455200,73,∞,0
11110CHE 485000,15,∞,0
11110CHE 495000,6,∞,0
11110CHE 496000,31,∞,0
11110CHE 500100,19,∞,0
11110CHE 501000,5,∞,0
11110CHE 503000,8,32,12
11110CHE 507000,4,∞,0
11110CHE 509000,81,84,31
11110CHE 512100,29,1,14
11110CHE 512600,3,22,4
11110CHE 516500,9,51,2
11110CHE 517000,5,∞,0
11110CHE 520000,46,∞,0
11110CHE 522500,8,∞,0
11110CHE 525000,3,27,3
11110CHE 533000,10,5,4
11110CHE 541200,8,∞,0
11110CHE 545400,6,19,8
11110CHE 554000,13,7,6
11110CHE 579500,3,∞,0
11110CHE 703000,10,∞,0
11110CHEM100000,11,149,24
11110CHEM101001,0,160,35
11110CHEM101002,0,165,40
11110CHEM101003,0,140,32
11110CHEM101004,30,20,1
11110CHEM103001,0,45,12
11110CHEM103002,0,45,8
11110CHEM103003,0,45,18
11110CHEM103004,0,45,15
11110CHEM103005,0,45,22
11110CHEM103006,0,45,19
11110CHEM103007,0,45,17
11110CHEM103008,0,45,11
11110CHEM103009,0,43,6
11110CHEM103010,0,45,13
11110CHEM103011,0,45,11
11110CHEM221001,83,17,0
11110CHEM221002,145,15,0
11110CHEM223001,33,0,0
11110CHEM223002,33,0,0
11110CHEM223003,33,0,0
11110CHEM223004,27,6,0
11110CHEM241001,93,7,0
11110CHEM293000,84,∞,0
11110CHEM310000,51,∞,0
11110CHEM311000,73,27,0
11110CHEM313001,14,19,0
11110CHEM313002,33,0,0
11110CHEM331000,80,20,0
11110CHEM343000,24,∞,0
11110CHEM345001,30,0,0
11110CHEM345002,19,11,0
11110CHEM345003,30,0,0
11110CHEM345004,30,0,0
11110CHEM350000,73,0,0
11110CHEM423000,45,0,0
11110CHEM461000,33,∞,0
11110CHEM462000,26,6,0
11110CHEM465000,10,∞,0
11110CHEM480000,0,0,0
11110CHEM500000,36,∞,0
11110CHEM501300,13,∞,0
11110CHEM508500,1,∞,0
11110CHEM509500,3,∞,0
11110CHEM512000,14,∞,0
11110CHEM527000,2,34,14
11110CHEM536500,11,∞,0
11110CHEM543000,4,21,4
11110CHEM545000,44,∞,0
11110CHEM546000,7,∞,0
11110CHEM553400,36,∞,0
11110CHEM554500,4,11,10
11110CHEM561000,10,∞,0
11110CHEM563000,6,∞,0
11110CHEM565000,18,∞,0
11110CHEM567000,3,∞,0
11110CHEM570000,42,∞,0
11110CHEM581000,49,∞,0
11110CHEM586000,25,∞,0
11110CHEM598000,13,∞,0
11110CHEM600000,6,∞,0
11110CHEM621000,4,∞,0
11110CHEM622000,5,∞,0
11110CHEM623000,16,∞,0
11110CHEM650000,0,∞,0
11110CHEM661000,1,∞,0
11110CHEM665000,0,∞,0
11110CHEM667000,1,∞,0
11110CHEM669000,0,∞,0
11110CHEM681000,2,∞,0
11110CL  101001,0,25,15
11110CL  101002,0,25,20
11110CL  101003,0,25,10
11110CL  101004,0,25,6
11110CL  101005,0,25,7
11110CL  101006,0,25,5
11110CL  101007,0,25,12
11110CL  101008,0,25,4
11110CL  101011,0,25,8
11110CL  101012,0,25,14
11110CL  101013,0,25,13
11110CL  101014,0,25,14
11110CL  101015,0,25,14
11110CL  101016,0,25,14
11110CL  101017,0,25,5
11110CL  101022,0,25,6
11110CL  101023,0,25,15
11110CL  101024,0,25,14
11110CL  101025,0,25,13
11110CL  101026,0,25,10
11110CL  101029,0,25,14
11110CL  101030,0,25,15
11110CL  101031,0,25,11
11110CL  101032,0,25,9
11110CL  101033,0,25,10
11110CL  101034,0,25,5
11110CL  101038,0,25,16
11110CL  101039,0,25,11
11110CL  101040,0,25,10
11110CL  101041,0,25,13
11110CL  101042,0,25,11
11110CL  101050,0,25,4
11110CL  101051,0,25,1
11110CL  101061,0,25,12
11110CL  101062,0,25,9
11110CL  101063,0,25,16
11110CL  101064,0,25,8
11110CL  101065,0,25,6
11110CL  110300,4,∞,0
11110CL  110601,21,∞,0
11110CL  111300,27,∞,0
11110CL  121000,24,36,11
11110CL  151000,8,47,2
11110CL  210500,31,∞,0
11110CL  210700,55,∞,0
11110CL  211200,50,10,2
11110CL  220000,41,0,0
11110CL  230000,4,31,1
11110CL  231800,0,35,0
11110CL  232500,16,19,0
11110CL  232600,35,0,0
11110CL  252000,13,2,0
11110CL  252100,15,0,0
11110CL  270000,13,∞,0
11110CL  280600,14,6,0
11110CL  310100,47,13,0
11110CL  321000,4,∞,0
11110CL  330200,13,22,0
11110CL  332600,21,14,0
11110CL  350400,7,28,0
11110CL  370200,35,15,0
11110CL  372300,22,13,0
11110CL  382900,5,15,0
11110CL  410100,55,5,0
11110CL  420200,17,18,0
11110CL  440700,10,∞,0
11110CL  462000,13,7,0
11110CL  462100,12,∞,0
11110CL  462200,12,8,1
11110CL  465000,0,0,0
11110CL  480500,19,11,0
11110CL  502300,5,∞,0
11110CL  503700,4,11,3
11110CL  506000,5,∞,0
11110CL  524100,11,∞,0
11110CL  524900,4,∞,0
11110CL  525000,7,8,4
11110CL  532900,6,∞,0
11110CL  534000,5,∞,0
11110CL  535500,12,∞,0
11110CL  561000,0,20,3
11110CL  572900,18,∞,0
11110CL  573300,7,∞,0
11110CL  591500,4,∞,0
11110CL  600100,1,∞,0
11110CL  700100,3,∞,0
11110CLC 100101,0,15,1
11110CLC 100102,3,12,3
11110CLC 100103,12,8,4
11110CLC 100104,3,12,1
11110CLC 100105,3,17,3
11110CLC 100201,9,6,0
11110CLC 100202,20,0,0
11110CLC 100203,6,14,0
11110CLC 100301,18,2,0
11110CLC 100302,15,0,0
11110CLC 100303,6,9,0
11110CLC 100800,15,0,0
11110CLC 100900,5,10,0
11110CLC 101101,2,13,3
11110CLC 101102,1,14,1
11110CLC 101103,5,15,2
11110CLC 101201,6,9,0
11110CLC 101202,6,14,0
11110CLC 101300,15,0,0
11110CLC 101400,20,0,0
11110CLC 200101,12,3,1
11110CLC 200102,8,7,0
11110CLC 200201,15,0,0
11110CLC 200202,15,0,0
11110CLC 200301,6,9,1
11110CLC 200302,6,9,0
11110CLC 300100,14,1,0
11110CLC 300200,12,3,0
11110CLC 300300,15,0,0
11110CLC 301200,9,6,0
11110CLC 400100,8,7,0
11110CLC 400200,9,6,0
11110CLC 400300,1,14,0
11110CLC 401100,18,2,0
11110CLC 401200,3,12,0
11110COM 501000,60,43,0
11110COM 503000,0,0,0
11110COM 512000,11,19,9
11110COM 513000,36,9,18
11110COM 517000,13,57,19
11110COM 522000,19,31,4
11110COM 524000,36,14,14
11110COM 524200,13,57,6
11110COM 524500,10,30,2
11110COM 525200,77,53,22
11110COM 526000,48,32,19
11110COM 530500,16,34,4
11110COM 530600,14,86,6
11110COM 534200,11,89,6
11110COM 541000,3,50,1
11110COM 601000,37,∞,0
11110COM 701000,3,∞,0
11110CS  135501,0,75,19
11110CS  135502,0,75,19
11110CS  135600,0,0,0
11110CS  135700,0,120,21
11110CS  135800,105,45,11
11110CS  233401,75,0,0
11110CS  233402,74,1,4
11110CS  233601,30,120,32
11110CS  233602,0,75,9
11110CS  235101,74,1,2
11110CS  235102,52,23,2
11110CS  312000,71,19,0
11110CS  330500,90,0,0
11110CS  342301,75,0,0
11110CS  342302,75,0,0
11110CS  342700,39,1,1
11110CS  343300,50,0,0
11110CS  390100,0,0,0
11110CS  390200,135,∞,0
11110CS  410000,48,27,0
11110CS  431101,55,45,0
11110CS  431102,100,0,0
11110CS  452000,40,0,0
11110CS  460100,90,0,0
11110CS  460200,100,0,0
11110CS  516000,50,∞,0
11110CS  517000,5,65,0
11110CS  522100,14,36,9
11110CS  529100,3,77,3
11110CS  531300,14,16,4
11110CS  531900,138,2,16
11110CS  532100,42,58,9
11110CS  539100,19,21,9
11110CS  540400,11,∞,0
11110CS  542200,29,1,27
11110CS  542300,0,0,0
11110CS  546000,0,0,0
11110CS  546400,34,∞,0
11110CS  550300,50,0,0
11110CS  550700,27,23,3
11110CS  551200,0,0,0
11110CS  555100,20,0,0
11110CS  560500,32,28,11
11110CS  565600,73,2,27
11110CS  573400,20,0,0
11110CS  580100,54,∞,0
11110CS  591000,0,175,58
11110CS  613500,36,∞,0
11110CS  655000,47,3,11
11110CS  690000,117,∞,0
11110CS  724600,0,0,0
11110CS  742900,0,0,0
11110CS  761000,0,0,0
11110CS  772000,0,0,0
11110CS  890000,5,∞,0
11110CSR 500100,6,94,20
11110CSR 500300,0,0,0
11110CSR 510100,6,79,13
11110CSR 520100,5,80,15
11110CSR 530100,3,67,15
11110CSR 530200,0,50,6
11110CSR 540100,8,72,15
11110CSR 540300,0,40,5
11110ISA 581000,103,17,25
11110DMS 110100,9,31,11
11110DMS 210500,24,0,0
11110DMS 274100,31,∞,0
11110DMS 275100,43,∞,0
11110DMS 275500,60,∞,0
11110DMS 301100,22,∞,0
11110DMS 301200,1,∞,0
11110DMS 320100,72,∞,0
11110DMS 370001,28,0,0
11110DMS 370002,27,1,0
11110DMS 370300,47,∞,0
11110DMS 370500,53,7,1
11110DMS 370700,42,8,0
11110DMS 374000,0,40,0
11110DMS 390001,7,1,0
11110DMS 390002,8,0,0
11110DMS 390003,8,0,0
11110DMS 390004,8,0,0
11110DMS 390005,8,0,0
11110DMS 475100,42,8,1
11110E   100101,1,24,31
11110E   100102,2,23,27
11110E   100103,0,25,24
11110E   100104,1,24,22
11110E   100105,5,20,14
11110E   100106,4,21,9
11110E   100107,1,24,14
11110E   100108,0,25,9
11110E   100109,0,25,5
11110E   100110,0,25,6
11110E   100111,0,25,5
11110E   100112,0,25,8
11110E   100113,0,25,0
11110E   100114,0,25,0
11110E   100115,0,25,5
11110E   100116,0,25,5
11110E   100117,0,25,4
11110E   100118,0,25,4
11110E   100119,0,25,1
11110E   100120,1,24,1
11110E   500100,15,35,1
11110ECON100101,0,170,11
11110ECON100102,0,100,4
11110ECON100103,0,100,4
11110ECON100104,0,100,6
11110ECON100105,0,60,16
11110ECON100106,0,80,18
11110ECON127101,25,60,9
11110ECON127102,0,80,12
11110ECON127300,31,19,6
11110ECON206101,69,1,0
11110ECON206102,96,4,0
11110ECON206103,73,7,0
11110ECON206104,43,27,0
11110ECON210101,52,33,0
11110ECON210102,80,0,0
11110ECON216101,34,66,0
11110ECON216102,99,1,0
11110ECON221200,30,75,3
11110ECON227300,35,∞,0
11110ECON228100,50,0,0
11110ECON303300,56,9,0
11110ECON309101,50,0,0
11110ECON309102,80,0,0
11110ECON309103,45,5,0
11110ECON309104,13,37,0
11110ECON310500,74,11,1
11110ECON310600,30,0,0
11110ECON316100,100,0,0
11110ECON327101,50,0,0
11110ECON327102,3,57,0
11110ECON328200,67,33,0
11110ECON409300,11,19,0
11110ECON412100,100,0,0
11110ECON413100,30,0,0
11110ECON416700,20,0,0
11110ECON425100,50,0,0
11110ECON434000,30,0,0
11110ECON500100,0,40,5
11110ECON503300,5,55,6
11110ECON504200,4,26,3
11110ECON505000,8,22,1
11110ECON506100,8,22,7
11110ECON507400,5,10,2
11110ECON509100,7,∞,0
11110ECON513100,23,∞,0
11110ECON516600,0,40,5
11110ECON591100,6,∞,0
11110ECON609300,6,12,5
11110ECON699900,21,∞,0
11110ECON709500,7,∞,0
11110ECON800000,0,∞,0
11110ECON890100,1,∞,0
11110ECON891100,2,∞,0
11110EE  202001,18,82,0
11110EE  202002,94,1,0
11110EE  203001,19,1,0
11110EE  203002,20,0,0
11110EE  214000,26,34,0
11110EE  221001,89,1,0
11110EE  221002,39,41,0
11110EE  224501,68,0,0
11110EE  224502,70,0,0
11110EE  225500,79,1,0
11110EE  231001,10,50,9
11110EE  231002,0,20,27
11110EE  240100,35,0,0
11110EE  240500,5,0,0
11110EE  306000,16,14,0
11110EE  313000,9,26,0
11110EE  315000,21,19,0
11110EE  323000,100,0,0
11110EE  323500,125,5,0
11110EE  324000,28,2,0
11110EE  335000,99,1,0
11110EE  336000,1,39,0
11110EE  345000,90,0,0
11110EE  351000,50,1,0
11110EE  364000,80,0,0
11110EE  366200,45,0,0
11110EE  370000,73,27,0
11110EE  382000,25,25,0
11110EE  390000,58,∞,0
11110EE  391000,88,∞,0
11110EE  410000,10,90,0
11110EE  412000,13,9,0
11110EE  413000,8,50,0
11110EE  415000,16,4,0
11110EE  429200,60,0,0
11110EE  429400,20,0,0
11110EE  432001,30,0,0
11110EE  432002,14,16,0
11110EE  465000,19,11,0
11110EE  466000,34,46,4
11110EE  490000,0,0,0
11110EE  491000,0,0,0
11110EE  521600,54,26,10
11110EE  523000,2,98,11
11110EE  525000,97,33,12
11110EE  541000,31,9,5
11110EE  563000,93,27,27
11110EE  571000,4,46,6
11110EE  581000,14,36,12
11110EE  582000,1,49,9
11110EE  585000,12,28,14
11110EE  591001,16,154,33
11110EE  591002,0,50,15
11110EE  601000,11,4,5
11110EE  626500,4,26,1
11110EE  641300,8,17,2
11110EE  648500,85,15,20
11110EE  665200,3,24,2
11110EE  690000,84,∞,0
11110EE  890000,7,∞,0
11110EECS101001,28,70,10
11110EECS101002,0,20,27
11110EECS121000,0,0,0
11110EECS202000,44,1,1
11110EECS203001,43,32,0
11110EECS203002,88,2,0
11110EECS207001,0,0,0
11110EECS207002,74,1,0
11110EECS208000,36,39,0
11110EECS302001,69,21,0
11110EECS302002,89,1,3
11110EECS305000,30,0,0
11110EMBA501000,36,∞,0
11110EMBA504800,35,5,19
11110EMBA507300,0,50,32
11110EMBA507800,0,50,32
11110EMBA508400,46,4,0
11110EMBA508900,46,4,0
11110EMBA509300,21,39,22
11110EMBA509600,5,35,22
11110EMBA510600,30,10,15
11110EMBA510700,3,32,18
11110EMBA510800,3,∞,0
11110EMD 500100,0,30,1
11110EMD 500200,0,30,1
11110EMD 500300,0,30,0
11110EMD 500400,0,30,0
11110EMD 500500,0,30,1
11110EMD 500600,0,30,1
11110EMD 501100,1,29,0
11110EMIM500100,26,∞,0
11110EMIM500200,1,43,9
11110EMIM500300,0,44,9
11110EMIM501300,0,44,0
11110EMIM600000,19,∞,0
11110EMM 600100,0,∞,0
11110EMM 600200,0,∞,0
11110EMM 600300,0,∞,0
11110EMM 600400,0,∞,0
11110EMM 609900,0,∞,0
11110EMS 500400,0,∞,0
11110EMS 500600,0,∞,0
11110EMS 500800,0,∞,0
11110EMS 501000,0,∞,0
11110EMS 509900,0,∞,0
11110ENE 511000,13,37,10
11110ENE 522000,32,18,11
11110ENE 531000,31,65,28
11110ENE 533000,13,67,22
11110ENE 538500,6,44,5
11110ENE 540000,12,28,5
11110ENE 551000,5,35,6
11110ENE 552000,3,37,1
11110ENE 591000,8,127,25
11110ENE 633000,30,20,18
11110ENE 636500,38,∞,0
11110ENE 690000,51,∞,0
11110ENE 890000,4,∞,0
11110ESS 102000,0,130,25
11110ESS 107000,26,4,9
11110ESS 201000,22,∞,0
11110ESS 202002,0,120,27
11110ESS 203001,60,0,0
11110ESS 203002,45,15,0
11110ESS 220000,119,1,0
11110ESS 223000,120,0,0
11110ESS 224001,50,0,0
11110ESS 224002,40,10,0
11110ESS 234000,3,∞,0
11110ESS 240001,55,0,0
11110ESS 240002,55,0,0
11110ESS 250100,48,12,0
11110ESS 302200,1,17,0
11110ESS 303000,33,27,0
11110ESS 305001,55,0,0
11110ESS 305002,33,22,0
11110ESS 323000,77,∞,0
11110ESS 327001,32,23,0
11110ESS 327002,55,0,0
11110ESS 327100,16,0,0
11110ESS 328000,79,∞,0
11110ESS 342000,12,∞,0
11110ESS 351000,28,∞,0
11110ESS 401000,20,10,0
11110ESS 401100,21,∞,0
11110ESS 410000,22,∞,0
11110ESS 441500,74,∞,0
11110ESS 446000,1,∞,0
11110ESS 451000,36,∞,0
11110ESS 453000,14,∞,0
11110ESS 455000,18,12,0
11110ESS 461000,82,∞,0
11110ESS 482000,22,∞,0
11110ESS 498000,8,∞,0
11110ESS 499000,51,∞,0
11110ESS 500000,96,∞,0
11110ESS 501001,5,∞,0
11110ESS 501002,7,∞,0
11110ESS 501003,5,∞,0
11110ESS 501004,36,∞,0
11110ESS 501005,32,∞,0
11110ESS 501006,1,∞,0
11110ESS 507000,9,6,2
11110ESS 520000,49,∞,0
11110ESS 534000,7,∞,0
11110ESS 534100,6,∞,0
11110ESS 549000,3,∞,0
11110ESS 552800,23,∞,0
11110ESS 553500,19,∞,0
11110ESS 554500,2,∞,0
11110ESS 556500,17,19,17
11110ESS 558500,3,∞,0
11110ESS 564400,6,∞,0
11110ESS 581000,2,18,6
11110ESS 582200,11,∞,0
11110ESS 584700,7,13,2
11110ESS 585000,5,∞,0
11110ESS 643000,10,∞,0
11110ESS 698000,24,∞,0
11110ESS 998000,5,∞,0
11110EST 710100,3,∞,0
11110EST 810200,2,∞,0
11110FL  100300,5,65,12
11110FL  100500,10,60,13
11110FL  101001,0,18,5
11110FL  101002,0,18,5
11110FL  101003,0,18,0
11110FL  102801,2,23,2
11110FL  102802,3,22,2
11110FL  102803,1,24,2
11110FL  102804,2,23,4
11110FL  102805,5,20,2
11110FL  102806,5,20,1
11110FL  102807,5,20,2
11110FL  102808,0,25,2
11110FL  102809,3,22,5
11110FL  102810,1,24,1
11110FL  102811,3,22,4
11110FL  103500,11,59,13
11110FL  104101,3,27,6
11110FL  104102,5,25,3
11110FL  200901,13,5,0
11110FL  200902,16,2,0
11110FL  200903,16,2,1
11110FL  201101,23,7,0
11110FL  201102,28,14,8
11110FL  201103,42,0,0
11110FL  201104,41,1,4
11110FL  201105,16,26,2
11110FL  201106,33,9,2
11110FL  201107,13,29,2
11110FL  201108,26,16,1
11110FL  201109,42,0,0
11110FL  201110,42,0,0
11110FL  201111,42,0,0
11110FL  201112,42,0,0
11110FL  201113,17,25,1
11110FL  201114,42,0,0
11110FL  201115,42,0,0
11110FL  201116,42,0,0
11110FL  201117,37,5,2
11110FL  201118,42,0,0
11110FL  201119,42,0,0
11110FL  201301,10,20,0
11110FL  201302,19,23,3
11110FL  201303,23,19,1
11110FL  201304,36,6,0
11110FL  201305,31,11,2
11110FL  201306,32,10,1
11110FL  201307,2,40,0
11110FL  201501,11,19,0
11110FL  201502,15,27,1
11110FL  201503,37,5,3
11110FL  201504,42,0,0
11110FL  201505,41,1,0
11110FL  201506,10,32,0
11110FL  201507,1,41,1
11110FL  201508,3,39,0
11110FL  201509,1,41,2
11110FL  202800,29,1,0
11110FL  203700,20,10,0
11110FL  203901,17,3,0
11110FL  203902,16,4,0
11110FL  203903,20,0,0
11110FL  204101,10,20,0
11110FL  204102,15,27,1
11110FL  204103,9,33,0
11110FL  204104,7,35,1
11110FL  204105,30,12,1
11110FL  204106,29,13,2
11110FL  204107,19,23,1
11110FL  204108,41,1,2
11110FL  204109,33,9,0
11110FL  209000,18,12,1
11110FL  213700,42,8,0
11110FL  300301,10,8,0
11110FL  300302,18,0,0
11110FL  300303,18,0,0
11110FL  300501,12,18,0
11110FL  300502,42,0,0
11110FL  300503,42,0,0
11110FL  300504,30,12,0
11110FL  300505,40,2,0
11110FL  300506,42,0,0
11110FL  300507,25,17,0
11110FL  300508,42,0,0
11110FL  300509,19,23,0
11110FL  300701,9,21,0
11110FL  300702,15,15,0
11110FL  300901,9,21,0
11110FL  300902,33,9,0
11110FL  304400,30,0,0
